candidate_id,source_kind,source_name,source_url,registration_urls,title_hint,provider_hint,venue_hint,postal_hint,area_hints,date_hints,time_hints,cost_hints,age_hints,topic_hints,excerpt_or_notes,missing_for_ckb,priority_score,review_decision,reviewed_at,reviewed_by,review_notes
SOC-f6ab1381a64a,public_telegram_candidate,OneBoonLay,https://t.me/oneboonlay/3953,https://t.me/oneboonlay/3953,👀 See Better. 👂 Hear Better. 😁 Eat Better.,OneBoonLay,,640625,Jurong West,17 October 2026,9.00am | 1.00pm | 12.30pm,FREE,aged 60,community | arts | performances | workshops | youth,"👀 See Better. 👂 Hear Better. 😁 Eat Better. Good health starts with regular screening. If you're aged 60 and above, take this opportunity to check your vision, hearing, and oral health. 📍 Venue Boon Lay Zone J RN 625 Jurong West St61 #01-161 Singapore 640625 📅 Date 17 October 2026",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,13,,,,
WEB-nanyang-dance-fitness-2026,public_web_candidate,People's Association / Nanyang CC,https://www.onepa.gov.sg/events/nanyang-csn-dance-fitness-2026-11967588,https://www.onepa.gov.sg/events/nanyang-csn-dance-fitness-2026-11967588,Nanyang CSN Dance Fitness 2026,People's Association / Nanyang CC,,649040,Jurong West,23 June 2026 | 29 September 2026,Tuesdays 7:30 PM-8:30 PM,Free,suitable for everyone,dance | fitness | beginner-friendly,"Official event page lists a free Tuesday dance-fitness session at Nanyang CC on Jurong West Street 91, 7:30–8:30 pm through 29 September 2026, described as suitable for everyone.",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,13,,,,
SOC-0aba77286349,public_telegram_candidate,Bishan Connects,https://t.me/bishancc/1165,https://t.me/bishancc/1165 | https://go.gov.sg/mlbb-btpmm | https://go.gov.sg/btpmmynpmc,🎉 One day. Endless fun. Great company.,Bishan Connects,,,Bishan,6 September 2026,10AM | 4PM,$8,all ages,arts | sport | workshops | youth | community,"🎉 One day. Endless fun. Great company. Get ready for Play, Move, Connect, a community event packed with exciting activities for all ages! Whether you're coming with family, friends, or neighbours, there's something for everyone to enjoy. ✨ Expect: 🏀 Sports challenges 🎯 Laser Tag ",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,11,,,,
SOC-132a9448c4e5,public_telegram_candidate,BAGUS Together,https://t.me/bagustogether/647,https://t.me/bagustogether/647 | https://www.instagram.com/bbbcoding/ | https://www.instagram.com/theismailisea/ | https://tally.so/r/rjLWOv,Calling all Youth! Have you ever wanted to learn how to code but didn't know where to start?,BAGUS Together,,,Punggol,15 August,9:30am | 12:30pm,free,aged 13–22,youth | coding | volunteering | cycling | community,"Calling all Youth! Have you ever wanted to learn how to code but didn't know where to start? Bit by Bit Coding, Singapore's youth-led groundup dedicated to making advanced coding education accessible to everyone, is offering free beginner-friendly Python programming workshops for",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,11,,,,
SOC-1a48df5e00a0,public_telegram_candidate,Alpha Fitness Workouts,https://t.me/alphaworkout/992,https://forms.gle/YPCEj8AuEn58QMTj9 | https://t.me/alphaworkout/992,Want to challenge yourself and burn some calories? 🛞,Alpha Fitness Workouts,,,Punggol,1 March 2026,2pm,Free,age 18,fitness | dance | sport,"Want to challenge yourself and burn some calories? 🛞 Form a team of 4 (mixed, all-male or all-female) and take on the ✨PROSPERITY 8 FITNESS CHALLENGE✨ Fun, fierce and full of festive energy! Race through 8 stations as a squad: each member must complete at least two stations. When",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,11,,,,
SOC-1b7c8e335e25,public_telegram_candidate,Taman Jurong Kakis,https://t.me/TamanJurongCC/1001,https://t.me/TamanJurongCC/1001 | http://go.gov.sg/tjvitalis,💪 Age is just a number—let's get moving!,Taman Jurong Kakis,,,Jurong West,20 September 2026 | 16 September 2026,10.00am | 1.00pm,$10.00,aged 50,community | performances | workshops | wellbeing,"💪 Age is just a number—let's get moving! 🏃 Team up with with family or friend and take on the *Taman Jurong Vitalis 2026* - A Senior Fitness Challenge! 🏃‍♀️ Enjoy an exciting morning of fitness, laughter and teamwork! 📅 Date: 20 September 2026, Sunday 🕙 Time: 10.00am to 1.00pm 📍 ",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,11,,,,
SOC-5c196e0d4f87,public_telegram_candidate,Taman Jurong Kakis,https://t.me/TamanJurongCC/987,https://t.me/TamanJurongCC/987 | http://go.gov.sg/tcjt,🛕✨ Temple & Changi Jewel Tour ✨🛕,Taman Jurong Kakis,,,Jurong West,27 September 2026,8.30am | 1.45pm | 9.00am | 10am | 6pm,$5,all ages,community | performances | workshops | wellbeing,"🛕✨ Temple & Changi Jewel Tour ✨🛕 Step out of the everyday and embark on a delightful day trip with your neighbours! From the iconic Loyang Temple to the breathtaking beauty of Changi Jewel's Canopy Park, this tour promises a wonderful blend of culture, discovery, and fun for all ",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,11,,,,
SOC-6a15403a2b14,public_telegram_candidate,Taman Jurong Kakis,https://t.me/TamanJurongCC/959,https://t.me/TamanJurongCC/959 | http://go.gov.sg/tjgameon,Looking for a fun way to spend your evenings? 🌟,Taman Jurong Kakis,,,Jurong West,17 Jul | 21 Jul | 4 Aug,8.00 PM,$2,Ages 7–12,community | performances | workshops | wellbeing,"Looking for a fun way to spend your evenings? 🌟 Come join Project Game On! Learn the basics of floorball, make new friends, and enjoy exciting games in a safe and welcoming environment. No experience needed! 📅 17 Jul | 21 Jul | 4 Aug 📍 Taman Jurong CC Hall (Level 2) ⏰ 5.30–8.00 P",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,11,,,,
SOC-91cb923a5111,public_telegram_candidate,Bishan Connects,https://t.me/bishancc/1139,https://t.me/bishancc/1139,🧶✨ Bishan Youth Network Introduces Crochet Classes for Kids! ✨🧶,Bishan Connects,,,Bishan,16 August | 20 September 2026,2.30pm | 3.30pm,$8,aged 7–12,arts | sport | workshops | youth | community,"🧶✨ Bishan Youth Network Introduces Crochet Classes for Kids! ✨🧶 Looking for a fun and creative activity for your little ones? Let them learn the art of crochet while making new friends and meaningful memories! 💙 👧🧒 Who: Kids aged 7–12 📍 Where: Bishan CC (Lecture Room 2, Level 3) ",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,11,,,,
SOC-9e5207ac2f21,public_telegram_candidate,Bishan Connects,https://t.me/bishancc/1171,https://t.me/bishancc/1171,🚀 Discover the Leader in YOU! 🚀,Bishan Connects,,,Bishan,9 September,9AM | 5PM,FREE,youths aged 17–24,arts | sport | workshops | youth | community,"🚀 Discover the Leader in YOU! 🚀 Calling all youths aged 17–24! 🌟 Ready to build confidence, discover your strengths and take charge of your future? Join us for Discovering The Leader In Me®, a FREE 2-day programme powered by The 7 Habits of Highly Effective Teens®. 📅 8 & 9 Septem",verified_at | verified_by | planning_area | beginner_friendly | join_alone_ok | guest_allowed,11,,,,
