listing_id,title,provider,provider_type,source_url,verified_at,verified_by,verification,cost_one_off_sgd,cost_recurring_sgd,equipment_cost_sgd,venue_name,postal_code,planning_area,nearest_mrt,age_min,age_max,beginner_friendly,join_alone_ok,guest_allowed,commitment,schedule_kind,weekday,start_time,duration_min,first_session,num_sessions,fixed_dates,open_hours_note,vibes,in_incumbent_directory,notes,weekday_evening_available,weekend_available
FTP-choa-chu-kang-primary-school-field,Choa Chu Kang Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/choa-chu-kang-primary-school-field,,,unverified,0,0,0,Choa Chu Kang Primary School Field,689905,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: West · 20 Choa Chu Kang Ave 2 Singapore 689905 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-dazhong-primary-school-field,Dazhong Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/dazhong-primary-school-field,,,unverified,0,0,0,Dazhong Primary School Field,659441,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: West · 35 Bukit Batok Street 31 Singapore 659441 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-fuhua-primary-school-field,Fuhua Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/fuhua-primary-school-field,,,unverified,0,0,0,Fuhua Primary School Field,609647,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: West · 65 Jurong East Street 13 Singapore 609647 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-keming-primary-school-field,Keming Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/keming-primary-school-field,,,unverified,0,0,0,Keming Primary School Field,659762,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: West · 90 Bukit Batok East Avenue 6 Singapore 659762 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-lakeside-primary-school-field,Lakeside Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/lakeside-primary-school-field,,,unverified,0,0,0,Lakeside Primary School Field,618310,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: West · 161 Corporation Walk Singapore 618310 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-south-view-primary-school-field,South View Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/south-view-primary-school-field,,,unverified,0,0,0,South View Primary School Field,689762,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: West · 6 Choa Chu Kang Central Singapore 689762 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-xingnan-primary-school-field,Xingnan Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/xingnan-primary-school-field,,,unverified,0,0,0,Xingnan Primary School Field,649036,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: West · 5 Jurong West Street 91 Singapore 649036 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-yuhua-secondary-school-field,Yuhua Secondary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/yuhua-secondary-school-field,,,unverified,0,0,0,Yuhua Secondary School Field,649406,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm,sporty,yes,zone: West · 35 Jurong West Street 41 Singapore 649406 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-bukit-panjang-primary-school-field,Bukit Panjang Primary School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/bukit-panjang-primary-school-field,,,unverified,0,0,0,Bukit Panjang Primary School Field,679676,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: West · 109 Cashew Road Singapore 679676 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
FTP-ai-tong-primary-school-field,Ai Tong School Field,Sport Singapore (ActiveSG),school,https://www.activesgcircle.gov.sg/facilities/ai-tong-primary-school-field,,,unverified,0,0,0,Ai Tong School Field,579646,,,,,,,,taster,drop_in,,,,,,,Sat: 3pm - 7pm; Sun: 9am - 7pm,sporty,yes,zone: Northeast · 100 Bright Hill Drive Singapore 579646 · age not stated on page — decide and fill · DRAFT from activesgcircle free-to-play — verify before using,,
