listing_id,title,provider,provider_type,source_url,verified_at,verified_by,verification,cost_one_off_sgd,cost_recurring_sgd,equipment_cost_sgd,venue_name,postal_code,planning_area,nearest_mrt,age_min,age_max,beginner_friendly,join_alone_ok,guest_allowed,commitment,schedule_kind,weekday,start_time,duration_min,first_session,num_sessions,fixed_dates,open_hours_note,vibes,in_incumbent_directory,notes,weekday_evening_available,weekend_available
NLB-5972413,Can aI Help You? Discover GenAI with Good Help Mart @ Toa Payoh Library,National Library Board,third_space,https://nlb.libcal.com/event/5972413,,,unverified,,0,0,Toa Payoh Library,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-01T10:00,,artistic|explorative,yes,"campus: Toa Payoh Library · categories: Areas of Interest > Technology, Event Type > Exhibition, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5972412,Can aI Help You? Discover GenAI with Good Help Mart @ Woodlands Library,National Library Board,third_space,https://nlb.libcal.com/event/5972412,,,unverified,,0,0,Woodlands Library,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-01T10:00,,artistic|explorative,yes,"campus: Woodlands Library · categories: Areas of Interest > Technology, Event Type > Exhibition, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971769,Puzzle It Out! A Jigsaw Puzzle Pop-Up | Jurong West Library,National Library Board,third_space,https://nlb.libcal.com/event/5971769,,,unverified,,0,0,Jurong West Library,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-01T10:00,,chill,yes,"campus: Jurong West Library · categories: Areas of Interest > Reading, Event Type > Experiential Event, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5972198,Puzzle It Out! A Jigsaw Puzzle Pop-Up | Choa Chu Kang Library,National Library Board,third_space,https://nlb.libcal.com/event/5972198,,,unverified,,0,0,Choa Chu Kang Library,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-01T11:00,,chill,yes,"campus: Choa Chu Kang Library · categories: Areas of Interest > Reading, Event Type > Experiential Event, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5916419,[Budding Artists] Stylofoam 2026 Exhibition Opening Ceremony,National Library Board,third_space,https://nlb.libcal.com/event/5916419,,,unverified,,0,0,Tampines Library,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-02T15:30,,artistic,yes,"campus: Tampines Library · categories: Areas of Interest > Art & Creativity, Event Type > Talk, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5970982,3D Starter Session @ Woodlands Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5970982,,,unverified,,0,0,Woodlands Library - MakeIT (Level 3),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-04T15:00,,artistic|explorative,yes,"campus: Woodlands Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971645,Cut Videos That Click @ Punggol Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971645,,,unverified,,0,0,Punggol Library - MakeIT (Level 4),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-04T17:30,,explorative,yes,"campus: Punggol Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5914819,MOLLY Weekend Outreach @ Eastlink I @ Canberra,National Library Board,third_space,https://nlb.libcal.com/event/5914819,,,unverified,,0,0,Others,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-05T09:00,,chill,yes,"campus: Others · categories: Areas of Interest > Accessible, Areas of Interest > Reading, Event Type > Experiential Event, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5914183,Reclaiming Attention: John Green on Reading | Reading in the Age of Distraction,National Library Board,third_space,https://nlb.libcal.com/event/5914183,,,unverified,,0,0,,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-05T10:00,,chill,yes,"campus: ? · categories: Areas of Interest > Reading, Event Type > Talk, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5914820,MOLLY Weekend Outreach @ Keat Hong Axis,National Library Board,third_space,https://nlb.libcal.com/event/5914820,,,unverified,,0,0,Others,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-05T13:30,,chill,yes,"campus: Others · categories: Areas of Interest > Accessible, Areas of Interest > Reading, Event Type > Experiential Event, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971203,Tinkering Book Club with Hwa Chong Institution Library Council | Jurong Library,National Library Board,third_space,https://nlb.libcal.com/event/5971203,,,unverified,,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-05T15:00,,chill,yes,"campus: Jurong Library · categories: Areas of Interest > Reading, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5970983,3D Starter Session @ Punggol Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5970983,,,unverified,,0,0,Punggol Library - MakeIT (Level 4),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-05T15:00,,artistic|explorative,yes,"campus: Punggol Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5972115,Pre-concert | LAND with NO SUN IV: EOS by TO Ensemble,National Library Board,third_space,https://nlb.libcal.com/event/5972115,,,unverified,,0,0,CAL - National Library Building - Lobby (Level 1),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-05T16:00,,artistic,yes,"campus: Central Arts Library · categories: Areas of Interest > Art & Creativity, Event Type > Performance, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
