listing_id,title,provider,provider_type,source_url,verified_at,verified_by,verification,cost_one_off_sgd,cost_recurring_sgd,equipment_cost_sgd,venue_name,postal_code,planning_area,nearest_mrt,age_min,age_max,beginner_friendly,join_alone_ok,guest_allowed,commitment,schedule_kind,weekday,start_time,duration_min,first_session,num_sessions,fixed_dates,open_hours_note,vibes,in_incumbent_directory,notes
NLB-001,Puzzle It Out! A Jigsaw Puzzle Pop-Up | Jurong West Library,National Library Board,third_space,https://nlb.libcal.com/event/5971769,,,unverified,0,0,0,Jurong West Library,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-01T10:00,,chill,no,"campus: Jurong West Library · categories: Areas of Interest > Reading, Event Type > Experiential Event, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-002,Tinkering Book Club with Hwa Chong Institution Library Council | Jurong Library,National Library Board,third_space,https://nlb.libcal.com/event/5971203,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-05T15:00,,chill,no,"campus: Jurong Library · categories: Areas of Interest > Reading, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-003,[LOLA 2026] Uku Strummers Performance - Jurong Library,National Library Board,third_space,https://nlb.libcal.com/event/5971942,,,unverified,0,0,0,Jurong Library - Programme Zone (Level 1),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T13:00,,explorative,no,"campus: Jurong Library · categories: Areas of Interest > Others, Event Type > Performance, Language > Others · DRAFT from libcal API — open the link and verify before using"
NLB-004,[LOLA 2026] Speed Book Swap (Community Bookworm Programme) - Jurong Library,National Library Board,third_space,https://nlb.libcal.com/event/5971944,,,unverified,0,0,0,Jurong Library - Programme Zone (Level 1),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T14:30,,chill,no,"campus: Jurong Library · categories: Areas of Interest > Reading, Event Type > Experiential Event, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-005,Sewing Starter Session @ Jurong Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5970996,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-06T15:00,,artistic|explorative,no,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-006,3D Starter Session @ Jurong Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971095,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-11T12:00,,artistic|explorative,no,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-007,From Spark to Word: Finding Your Voice Through Poetry | Teens Takeover re:write,National Library Board,third_space,https://nlb.libcal.com/event/5916422,,,unverified,0,0,0,Bukit Batok Library - Programme Room (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-11T14:30,,chill,no,"campus: Bukit Batok Library · categories: Areas of Interest > Reading, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-008,"Amazon Think Big Program Workshop Series - Arcade Lab: Code a ""Fruit Ninja"" Style Game",National Library Board,third_space,https://nlb.libcal.com/event/5916424,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-12T13:00,,explorative,no,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-009,"Amazon Think Big Program Workshop Series - Bot Builders: Design, Build, and Compete!",National Library Board,third_space,https://nlb.libcal.com/event/5972305,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-12T15:30,,explorative,no,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
NLB-010,3D Starter Session @ Jurong Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971098,,,unverified,0,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-13T15:00,,artistic|explorative,no,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · DRAFT from libcal API — open the link and verify before using"
