listing_id,title,provider,provider_type,source_url,verified_at,verified_by,verification,cost_one_off_sgd,cost_recurring_sgd,equipment_cost_sgd,venue_name,postal_code,planning_area,nearest_mrt,age_min,age_max,beginner_friendly,join_alone_ok,guest_allowed,commitment,schedule_kind,weekday,start_time,duration_min,first_session,num_sessions,fixed_dates,open_hours_note,vibes,in_incumbent_directory,notes,weekday_evening_available,weekend_available
SOC-018834cf70a1,Jurong Spring-Gek Poh Mid-Autumn Festival 2026,Jurong Spring and Gek Poh Grassroots Organisations,cc,https://t.me/gekpohcentral/864,2026-09-02,respoopu,verified,2,0,0,Jurong Spring Community Club,649296,Jurong West,Lakeside,0,120,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-26T18:00,,artistic|chill|explorative,no,"Public organiser post checked; ticket price, venue and event time confirmed.",,
SOC-d523db6c4892,Gek Poh Mid-Autumn Celebration,Gek Poh Central Residents' Network,cc,https://t.me/gekpohcentral/871,2026-09-02,respoopu,verified,4,0,0,Community Hub opposite Block 272D,644272,Jurong West,Pioneer,0,120,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-20T18:00,,artistic|chill,no,"Public organiser post checked; community-hub location, ticket price and event time confirmed.",,
SOC-18a92663f872,Boon Lay Mid-Autumn Festival 2026,Boon Lay Grassroots Organisations,cc,https://t.me/oneboonlay/3931,2026-09-02,respoopu,verified,4,0,0,Open field between Blocks 619 and 630 Jurong West Street 65,640619,Jurong West,Pioneer,0,120,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-27T18:30,,artistic|chill,no,"Public organiser post checked; open-field venue, ticket price and event time confirmed.",,
SOC-9a65d4ada9e4,Green Carnival 2026,Boon Lay Grassroots Organisations,cc,https://t.me/oneboonlay/3968,2026-09-02,respoopu,verified,5,0,0,Block 238 Boon Lay Drive Multi-Purpose Hall,640238,Jurong West,Lakeside,0,120,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-20T10:00,,explorative|chill,no,Public organiser post checked; visitor ticket is S$5 (the separate vendor fee is excluded).,,
SOC-6a5912702e28,Boon Lay Mind Cafe,Boon Lay CCC and CSN,cc,https://t.me/oneboonlay/3957,2026-09-02,respoopu,verified,0,0,0,Boon Lay Community Club Multi-Purpose Hall,649882,Jurong West,Lakeside,0,120,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-20T14:00,,chill,no,Official onePA listing checked; free public board-game session confirmed. #demo-retire,,
SOC-3d17dc53efab,Mooncake Making Workshop,Boon Lay Community Club,cc,https://t.me/oneboonlay/3960,2026-09-02,respoopu,verified,20,0,0,Boon Lay Community Club Culinary Studio #02-03,649882,Jurong West,Lakeside,0,120,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-09T10:30,,artistic|explorative,no,Public organiser post checked; the 9 September beginner mooncake session is the canonical option; other priced sessions remain in the source.,,
NLB-5971829,Puzzle It Out! A Jigsaw Puzzle Pop-Up,National Library Board,third_space,https://nlb.libcal.com/event/5971829,2026-09-02,respoopu,verified,0,0,0,Jurong West Library,648346,Jurong West,Boon Lay,13,17,yes,yes,yes,one_off,fixed_dates,,,,,,2026-10-01T10:00,,chill,no,"NLB event page checked; teen eligibility, free entry and session date confirmed.",,
NLB-5914829,MOLLY Weekend Outreach at Jurong West Sports Centre,National Library Board,third_space,https://nlb.libcal.com/event/5914829,2026-09-02,respoopu,verified,0,0,0,Jurong West Sports Centre,648965,Jurong West,Pioneer,13,17,yes,yes,yes,one_off,fixed_dates,,,,,,2026-09-20T09:00,,chill|explorative,no,NLB event page checked; free teen outreach session and venue confirmed.,,
FTP-yuhua-secondary-school-field,Weekend free play at Yuhua Secondary School Field,Sport Singapore,school,https://www.activesgcircle.gov.sg/facilities/yuhua-secondary-school-field,2026-09-02,respoopu,verified,0,0,0,Yuhua Secondary School Field,649406,Jurong West,Lakeside,0,120,yes,yes,yes,taster,drop_in,,,,,,,Saturday 3pm-7pm,sporty,yes,Official ActiveSG facility page checked; public weekend access and venue confirmed.,no,yes
FTP-xingnan-primary-school-field,Weekend free play at Xingnan Primary School Field,Sport Singapore,school,https://www.activesgcircle.gov.sg/facilities/xingnan-primary-school-field,2026-09-02,respoopu,verified,0,0,0,Xingnan Primary School Field,649036,Jurong West,Pioneer,0,120,yes,yes,yes,taster,drop_in,,,,,,,Saturday 3pm-7pm; Sunday 9am-7pm,sporty,yes,Official ActiveSG facility page checked; public weekend access and venue confirmed.,no,yes
